TranslatedRecipeName,TranslatedIngredients
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Coriander (Dhania) Seeds,4 Dry Red Chillies,1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic,1 teaspoon Garam masala powder,Salt - to taste,2 tablespoon Sesame (Gingelly) Oil,4 Green Chillies - slit,500 grams Chicken,6 cloves Garlic - finely chopped,1 teaspoon Fennel seeds (Saunf),2 Onion - chopped,2 cups Sorrel Leaves (Gongura) - picked and chopped,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 inch Ginger - finely chopped,1 Tomato - chopped"
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"2 Carrots (Gajjar),1 tablespoon Lemon juice,1 tablespoon Extra Virgin Olive Oil,5 Baby Potatoes,1 teaspoon Cumin powder (Jeera),1 Tomato,4 tablespoon Coriander (Dhania) Leaves,Salt - to taste,1 cup Chicken stock,5 cloves Garlic,250 grams Prawns,250 grams Fish fillet - basa,1/4 cup Coconut milk,2 Fresh Red chillies,1 Onion,15 Clamps,2 teaspoon Paprika powder,1 teaspoon Black pepper powder"
Singapore Style Chicken Layered Fried Rice Recipe,"2 Spring Onion Greens - finely chopped,1 teaspoon Chinese 5 Spice Powder,1 teaspoon White pepper powder,1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1 tablespoon Vinegar,1 Carrots (Gajjar) - cubed,1/2 cup Classic Mayonnaise (With Egg),1 tablespoon Red Chilli sauce,1 Green Bell Pepper (Capsicum) - sliced,2 tablespoons Tomato Ketchup,1/2 teaspoon Cumin powder (Jeera),2 tablespoons Red Chilli sauce,2 cups Rice - soaked for 10 minutes,Salt - to taste,1 Spring Onion (Bulb & Greens) - chopped,1 tablespoon Lemon juice,3 teaspoons Sunflower Oil,2 Green Chillies - slit and roasted,1 teaspoon Garlic - minced,1 tablespoons Soy sauce,1/2 teaspoon Red Chilli powder,1 tablespoons Garlic - crushed,300 grams Boneless chicken - cut into 1/2 inch cubed,1 tablespoons Ginger - crushed,1 Onions - cubed,2 Green Chillies - chopped,250 grams Egg noodles - boiled and tossed in a teaspoon oil,1 teaspoon Black pepper powder"
PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,"1 Chicken breasts - cut into 1 cm cubes,2 teaspoons Sunflower Oil,2 teaspoons Garlic - finely chopped,Salt - to taste,1/4 cup Spring Onion (Bulb & Greens) - finely chopped,1/4 cup Button mushrooms - finely chopped,1 teaspoon Soy sauce,1 teaspoon Chilli vinegar,1 teaspoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1 Iceberg lettuce,1 teaspoon Red Chilli sauce,1 teaspoon Black pepper powder"
One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe," 1 teaspoon red chilli powder, 1 onion - finely chopped, 1 teaspoon coriander powder, 1/2 tsp turmeric powder, 2 cups water, 1 sprig curry leaves, salt - as per taste, 2 tomatoes - finely chopped, 1 inch ginger - finely chopped, 1 teaspoon garam masala powder,1 tsp coconut oil, 300 grams chicken breast - cut, 4 long garlic - finely chopped"
Chicken Shawarma Recipe,"2 cup Whole Wheat Flour,2 tablespoon Extra Virgin Olive Oil,1 teaspoon Cumin powder (Jeera),1 Onion - chopped,1 tablespoon Ginger Garlic Paste,1/4 teaspoon Turmeric powder (Haldi),1 Tomato - pulp removed and julienned,1 tablespoon Active dry yeast,1 tablespoon Sugar,Salt - to taste,1/2 cup Milk,1 Carrot (Gajjar) - cut into julienne,2 tablespoon Red Chilli powder,1 cup Homemade Hummus,2 tablespoon Coriander Powder (Dhania),1 cup Tzatziki,1 teaspoon Sugar,1/4 cup Chilli vinegar,1 teaspoon Black pepper powder,1 Cucumber - cut into julienne,1 Chicken breasts - cut into thin strips,1 teaspoon Salt"
Indo Chinese Crispy Chicken Chilli Recipe,"Water - as required,2 Green Chillies - slit,1-1/2 tablespoon Corn flour,1 tablespoon Ginger - minced,1 tablespoon Red Chilli sauce,1 Green Bell Pepper (Capsicum) - sliced,Sunflower Oil - as required,2 tablespoons Garlic - minced,1 tablespoon Soy sauce,Salt - to taste,1/2 teaspoon Soy sauce,1/2 teaspoon Black pepper powder,1/2 teaspoon Vinegar,1 Onion - sliced,Salt - as required,1 teaspoon Corn flour,1/2 teaspoon Green Chilli Sauce,1 tablespoon Roasted tomato pasta sauce,1/2 teaspoon Red Chilli sauce,2-1/2 tablespoons All Purpose Flour (Maida),250 grams Chicken - cut into medium sized pieces"
"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe","250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Cumin powder (Jeera),1 cup Broccoli - cut into small florets,1 teaspoon Dried Thyme Leaves,1 teaspoon Butter,Salt - to taste,1/4 teaspoon Red Chilli powder - or cayenne pepper,Salt and Pepper - ,1 Onion - finely chopped,2 cloves Garlic - chopped,2 Chicken sausage,1 teaspoon Extra Virgin Olive Oil,1 clove Garlic - grated,1 tablespoon Honey - or more to taste,Black pepper powder - for seasoning,500 grams Tomatoes - pureed,1 teaspoon Dried oregano"
Turkish Chicken Gozleme Recipe-Stuffed Spinach Chicken Bread,"1 tablespoon Coriander Powder (Dhania),1/4 cup Hung Curd (Greek Yogurt),3 sprig Mint Leaves (Pudina) - chopped,Salt - to taste,1 Tomatoes - finely chopped,1/2 cup Whole Wheat Flour,4 cloves Garlic - finely chopped,1 1/2 teaspoon Paprika powder,100 grams Feta Cheese - crumbled,1 Onion - finely chopped,250 grams Chicken - minced,1 cup Spinach Leaves (Palak) - finely chopped,1/2 cup All Purpose Flour (Maida),1 tablespoon Cumin powder (Jeera),10 sprig Spring Onion (Bulb & Greens) - chopped,1 teaspoon Black pepper powder"
Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,"1 teaspoon Kashmiri Red Chilli Powder,1 Onion - diced,3 teaspoons Sunflower Oil,1 teaspoon Garam masala powder,Salt - to taste,1 inch Ginger - grated,2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1 teaspoon Coriander Powder (Dhania),10 cloves Garlic - chopped,500 grams Chicken thighs - skinless and boneless,1/3 cup Coriander (Dhania) Leaves - chopped,6 Tomatoes - desseded,3 Green Chillies - slit,1/4 teaspoon Turmeric powder (Haldi)"
